Layer Group,Wyckoff Positions
1,['1a']
2,"['1a', '1b', '1c', '1d', '2e']"
3,"['1a', '1b', '1c', '1d', '2e']"
4,"['1a', '2b']"
5,['2a']
6,"['1a', '1b', '1c', '1d', '2e', '2f', '2g', '2h', '2i', '4j']"
7,"['2a', '2b', '2c', '2d', '4e']"
8,"['1a', '1b', '2c']"
9,['2a']
10,"['2a', '4b']"
11,"['1a', '1b', '2c']"
12,['2a']
13,"['2a', '4b']"
14,"['1a', '1b', '1c', '1d', '2e', '2f', '2g', '2h', '4i']"
15,"['2a', '2b', '2c', '4d']"
16,"['2a', '2b', '2c', '4d']"
17,"['2a', '2b', '4c']"
18,"['2a', '2b', '4c', '4d', '4e', '8f']"
19,"['1a', '1b', '1c', '1d', '2e', '2f', '2g', '2h', '2i', '2j', '2k', '2l', '4m']"
20,"['2a', '2b', '2c', '4d']"
21,"['2a', '2b', '4c']"
22,"['2a', '2b', '4c', '4d', '4e', '4f', '4g', '8h']"
23,"['1a', '1b', '1c', '1d', '2e', '2f', '2g', '2h', '4i']"
24,"['2a', '2b', '2c', '4d']"
25,"['2a', '2b', '4c']"
26,"['2a', '2b', '4c', '4d', '4e', '8f']"
27,"['1a', '1b', '2c', '2d', '2e', '4f']"
28,"['2a', '2b', '4c']"
29,"['2a', '4b']"
30,"['2a', '2b', '4c']"
31,"['2a', '2b', '4c']"
32,"['2a', '4b']"
33,['4a']
34,"['2a', '4b']"
35,"['2a', '4b', '4c', '8d']"
36,"['4a', '4b', '8c']"
37,"['1a', '1b', '1c', '1d', '2e', '2f', '2g', '2h', '2i', '2j', '2k', '2l', '4m', '4n', '4o', '4p', '4q', '8r']"
38,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '4i', '4j', '8k']"
39,"['2a', '2b', '4c', '4d', '4e', '4f', '4g', '8h']"
40,"['2a', '2b', '2c', '4d', '4e', '4f', '4g', '8h']"
41,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '8i']"
42,"['2a', '2b', '4c', '4d', '4e', '8f']"
43,"['4a', '4b', '4c', '8d']"
44,"['2a', '2b', '4c', '4d', '4e', '8f']"
45,"['4a', '4b', '4c', '8d']"
46,"['2a', '2b', '4c', '4d', '4e', '8f']"
47,"['2a', '2b', '4c', '4d', '4e', '4f', '4g', '8h', '8i', '8j', '8k', '16l']"
48,"['4a', '4b', '4c', '4d', '8e', '8f', '8g', '8h', '8i', '16j']"
49,"['1a', '1b', '2c', '4d']"
50,"['1a', '1b', '2c', '2d', '2e', '4f']"
51,"['1a', '1b', '2c', '2d', '2e', '4f', '4g', '8h']"
52,"['2a', '2b', '4c', '4d', '8e']"
53,"['1a', '1b', '2c', '2d', '2e', '4f', '4g', '4h', '4i', '8j']"
54,"['2a', '2b', '4c', '4d', '8e']"
55,"['1a', '1b', '2c', '4d', '4e', '4f', '8g']"
56,"['2a', '2b', '4c', '8d']"
57,"['1a', '1b', '2c', '2d', '2e', '4f', '4g', '4h', '4i', '8j']"
58,"['2a', '2b', '4c', '4d', '8e']"
59,"['1a', '1b', '2c', '2d', '2e', '4f', '4g', '4h', '8i']"
60,"['2a', '2b', '4c', '4d', '4e', '8f']"
61,"['1a', '1b', '2c', '2d', '2e', '4f', '4g', '4h', '4i', '8j', '8k', '8l', '8m', '16n']"
62,"['2a', '2b', '4c', '4d', '4e', '8f', '8g', '8h', '16i']"
63,"['2a', '2b', '4c', '4d', '4e', '8f', '8g', '16h']"
64,"['2a', '2b', '4c', '4d', '8e', '8f', '8g', '16h']"
65,"['1a', '1b', '1c', '3d']"
66,"['1a', '2b', '2c', '3d', '6e']"
67,"['1a', '1b', '1c', '2d', '2e', '2f', '3g', '6h']"
68,"['1a', '2b', '2c', '3d', '6e']"
69,"['1a', '1b', '1c', '3d', '6e']"
70,"['1a', '2b', '3c', '6d']"
71,"['1a', '2b', '2c', '3d', '4e', '6f', '6g', '12h']"
72,"['1a', '2b', '2c', '3d', '6e', '6f', '12g']"
73,"['1a', '2b', '3c', '6d']"
74,"['1a', '1b', '1c', '2d', '2e', '2f', '3g', '6h']"
75,"['1a', '2b', '2c', '3d', '4e', '6f', '6g', '12h']"
76,"['1a', '2b', '2c', '3d', '4e', '6f', '6g', '6h', '12i']"
77,"['1a', '2b', '3c', '6d', '6e', '12f']"
78,"['1a', '1b', '1c', '2d', '2e', '2f', '3g', '6h', '6i', '12j']"
79,"['1a', '2b', '2c', '3d', '4e', '6f', '6g', '12h']"
80,"['1a', '2b', '2c', '3d', '4e', '6f', '6g', '6h', '12i', '12j', '12k', '24l']"
