L,X,A,W,M,logp_w,logp_xyz,logp_a,logp_l,logp
"[4.994998060874612, 4.994998060874612, 2.5309079420336316, 90.0, 90.0, 120.0]","[[0.02029185634839332, 0.3408306895893936, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-4.386683674788375,-3.7778737650412726,-5.090539120721774,-3.461369969866404,-16.716466530417826
"[0.6598040528373541, 0.6598040528373541, 3.215559008292238, 90.0, 90.0, 120.0]","[[0.3333333432674408, 0.6666666865348816, 0.0], [0.6233799755195562, 0.2467599510391123, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-6.464184289885994,-3.4588562690276765,-10.156936964093763,-2.365417963794066,-22.445395486801498
"[-3.6792689103122265, -3.6792689103122265, 2.361910625698713, 90.0, 90.0, 120.0]","[[0.0, 0.0, 0.510803297187382], [0.6932602446204528, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-8.121457776024327,-3.3094253332008052,-10.138256666705123,-4.455711290179877,-26.02485106611013
"[1.397578113672835, 1.397578113672835, -4.011654569862892, 90.0, 90.0, 120.0]","[[0.0, 0.0, 0.007320452288577155], [0.6261593944236826, 0.294709936960512, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-5.849273470218548,-6.217675423833988,-10.142052657415205,-4.8551764767969825,-27.064178028264728
"[-5.61558962470077, -5.61558962470077, 3.2504682070099444, 90.0, 90.0, 120.0]","[[0.6625544542079983, 0.6378550289367434, 0.6388826402235847], [0.8377305215294544, 0.5511087322993053, 0.5441057831028451], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[24, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-3.862727546074155,-10.465418399607408,-10.162268854203534,-3.6682908920888866,-28.15870569197398
"[2.6473839138728747, 2.6473839138728747, 5.085920130152847, 90.0, 90.0, 120.0]","[[0.3333333432674408, 0.6666666865348816, 0.017944026462253848], [0.05933575649872539, 0.7717625519655616, 0.0], [0.5721408677038152, 0.4419564031328444, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-6.052990158309444,-10.10486033967921,-15.25249189782268,-2.733223525742291,-34.14356592155362
"[-1.2932748461072432, -1.2932748461072432, 2.511329662134749, 90.0, 90.0, 120.0]","[[0.8286141563373387, 0.6572283126746774, 0.0], [0.2863696437413888, 0.5727392874827776, 0.11066400013621633], [0.3682904905660851, 0.5316132204152682, 0.0], [0.5712163936741541, 0.7837771808399563, 0.0], [0.22577102155001053, 0.08374825830612453, 0.40744632109524587], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 10, 11, 11, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 12, 12, 12, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-8.507485171383946,-21.56824841973624,-25.44785108462689,-1.9390782850259984,-57.46266296077307
"[-6.4379081516363055, -6.4379081516363055, 3.209830641924044, 90.0, 90.0, 120.0]","[[0.5, 0.0, 0.2102083879272085], [0.28268880087703485, 0.5653776017540697, 0.0], [0.06072621325021647, 0.36303745589966707, 0.0], [0.2509174322971684, 0.14430680584472297, 0.0], [0.6359164874280733, 0.4975900073801515, 0.0], [0.8300304066747152, 0.24708348269631236, 0.0], [0.03881413128269853, 0.6053170451416402, 0.0], [0.021707236074128507, 0.6103633546025339, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 8, 11, 11, 11, 11, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 12, 12, 12, 12, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-8.473600114709368,-27.41296857848153,-40.64577820484567,-3.4859463546825356,-80.0182932527191
"[0.9879393856553703, 0.9879393856553703, -2.808491205911897, 90.0, 90.0, 120.0]","[[0.3333333432674408, 0.6666666865348816, 0.27715880813508886], [0.3333333432674408, 0.6666666865348816, 0.6023716458045715], [0.9865941852305271, 0.9731883704610542, 0.0], [0.6069524482875921, 0.2139048965751842, 0.0], [0.5119101122781988, 0.1526221832530232, 0.0], [0.17379851353973114, 0.8546736831135169, 0.0], [0.796110633976646, 0.19452003175594937, 0.0], [0.3881585253660679, 0.8642958159803314, 0.0], [0.997526425752123, 0.25621133991110245, 0.2974562007520475], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 5, 8, 8, 11, 11, 11, 11, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 6, 6, 12, 12, 12, 12, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-12.18725033385269,-31.984044361018,-45.88092134486949,-2.6837106196641978,-92.73592665940438
"[13.743815060589322, 13.743815060589322, 2.3124050716305433, 90.0, 90.0, 120.0]","[[0.3333333432674408, 0.6666666865348816, 0.2580565254954114], [0.16984016198375046, 0.0, 0.45910404942394206], [0.1628639630124485, 0.325727926024897, 0.41558769412712804], [0.5984693510446667, 0.10610813092574674, 0.0], [0.8009039200626558, 0.20463077134432947, 0.5430816962497236], [0.7503333145565935, 0.44621778049512467, 0.586408957998096], [0.44741105850171936, 0.5119386934152299, 0.3263859524285075], [0.02883974885523466, 0.2832733946065243, 0.31601820817371246], [0.47125174202446507, 0.24246619117808155, 0.28642261290279963], [0.37703337995734815, 0.059027327256916354, 0.2902674934013427], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 9, 10, 11, 12, 12, 12, 12, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 12, 12, 12, 24, 24, 24, 24, 24, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-13.866366926257486,-44.28728458612283,-50.99427761390012,-3.4663769687097576,-112.61430609499018
