Space Group,Wyckoff Positions
1,['1a']
2,"['1a', '1b', '1c', '1d', '1e', '1f', '1g', '1h', '2i']"
3,"['1a', '1b', '1c', '1d', '2e']"
4,['2a']
5,"['2a', '2b', '4c']"
6,"['1a', '1b', '2c']"
7,['2a']
8,"['2a', '4b']"
9,['4a']
10,"['1a', '1b', '1c', '1d', '1e', '1f', '1g', '1h', '2i', '2j', '2k', '2l', '2m', '2n', '4o']"
11,"['2a', '2b', '2c', '2d', '2e', '4f']"
12,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '4i', '8j']"
13,"['2a', '2b', '2c', '2d', '2e', '2f', '4g']"
14,"['2a', '2b', '2c', '2d', '4e']"
15,"['4a', '4b', '4c', '4d', '4e', '8f']"
16,"['1a', '1b', '1c', '1d', '1e', '1f', '1g', '1h', '2i', '2j', '2k', '2l', '2m', '2n', '2o', '2p', '2q', '2r', '2s', '2t', '4u']"
17,"['2a', '2b', '2c', '2d', '4e']"
18,"['2a', '2b', '4c']"
19,['4a']
20,"['4a', '4b', '8c']"
21,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '4i', '4j', '4k', '8l']"
22,"['4a', '4b', '4c', '4d', '8e', '8f', '8g', '8h', '8i', '8j', '16k']"
23,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '4i', '4j', '8k']"
24,"['4a', '4b', '4c', '8d']"
25,"['1a', '1b', '1c', '1d', '2e', '2f', '2g', '2h', '4i']"
26,"['2a', '2b', '4c']"
27,"['2a', '2b', '2c', '2d', '4e']"
28,"['2a', '2b', '2c', '4d']"
29,['4a']
30,"['2a', '2b', '4c']"
31,"['2a', '4b']"
32,"['2a', '2b', '4c']"
33,['4a']
34,"['2a', '2b', '4c']"
35,"['2a', '2b', '4c', '4d', '4e', '8f']"
36,"['4a', '8b']"
37,"['4a', '4b', '4c', '8d']"
38,"['2a', '2b', '4c', '4d', '4e', '8f']"
39,"['4a', '4b', '4c', '8d']"
40,"['4a', '4b', '8c']"
41,"['4a', '8b']"
42,"['4a', '8b', '8c', '8d', '16e']"
43,"['8a', '16b']"
44,"['2a', '2b', '4c', '4d', '8e']"
45,"['4a', '4b', '8c']"
46,"['4a', '4b', '8c']"
47,"['1a', '1b', '1c', '1d', '1e', '1f', '1g', '1h', '2i', '2j', '2k', '2l', '2m', '2n', '2o', '2p', '2q', '2r', '2s', '2t', '4u', '4v', '4w', '4x', '4y', '4z', '8A']"
48,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '4i', '4j', '4k', '4l', '8m']"
49,"['2a', '2b', '2c', '2d', '2e', '2f', '2g', '2h', '4i', '4j', '4k', '4l', '4m', '4n', '4o', '4p', '4q', '8r']"
50,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '4i', '4j', '4k', '4l', '8m']"
51,"['2a', '2b', '2c', '2d', '2e', '2f', '4g', '4h', '4i', '4j', '4k', '8l']"
52,"['4a', '4b', '4c', '4d', '8e']"
53,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '8i']"
54,"['4a', '4b', '4c', '4d', '4e', '8f']"
55,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '8i']"
56,"['4a', '4b', '4c', '4d', '8e']"
57,"['4a', '4b', '4c', '4d', '8e']"
58,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '8h']"
59,"['2a', '2b', '4c', '4d', '4e', '4f', '8g']"
60,"['4a', '4b', '4c', '8d']"
61,"['4a', '4b', '8c']"
62,"['4a', '4b', '4c', '8d']"
63,"['4a', '4b', '4c', '8d', '8e', '8f', '8g', '16h']"
64,"['4a', '4b', '8c', '8d', '8e', '8f', '16g']"
65,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '4i', '4j', '4k', '4l', '8m', '8n', '8o', '8p', '8q', '16r']"
66,"['4a', '4b', '4c', '4d', '4e', '4f', '8g', '8h', '8i', '8j', '8k', '8l', '16m']"
67,"['4a', '4b', '4c', '4d', '4e', '4f', '4g', '8h', '8i', '8j', '8k', '8l', '8m', '8n', '16o']"
68,"['4a', '4b', '8c', '8d', '8e', '8f', '8g', '8h', '16i']"
69,"['4a', '4b', '8c', '8d', '8e', '8f', '8g', '8h', '8i', '16j', '16k', '16l', '16m', '16n', '16o', '32p']"
70,"['8a', '8b', '16c', '16d', '16e', '16f', '16g', '32h']"
71,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '4i', '4j', '8k', '8l', '8m', '8n', '16o']"
72,"['4a', '4b', '4c', '4d', '8e', '8f', '8g', '8h', '8i', '8j', '16k']"
73,"['8a', '8b', '8c', '8d', '8e', '16f']"
74,"['4a', '4b', '4c', '4d', '4e', '8f', '8g', '8h', '8i', '16j']"
75,"['1a', '1b', '2c', '4d']"
76,['4a']
77,"['2a', '2b', '2c', '4d']"
78,['4a']
79,"['2a', '4b', '8c']"
80,"['4a', '8b']"
81,"['1a', '1b', '1c', '1d', '2e', '2f', '2g', '4h']"
82,"['2a', '2b', '2c', '2d', '4e', '4f', '8g']"
83,"['1a', '1b', '1c', '1d', '2e', '2f', '2g', '2h', '4i', '4j', '4k', '8l']"
84,"['2a', '2b', '2c', '2d', '2e', '2f', '4g', '4h', '4i', '4j', '8k']"
85,"['2a', '2b', '2c', '4d', '4e', '4f', '8g']"
86,"['2a', '2b', '4c', '4d', '4e', '4f', '8g']"
87,"['2a', '2b', '4c', '4d', '4e', '8f', '8g', '8h', '16i']"
88,"['4a', '4b', '8c', '8d', '8e', '16f']"
89,"['1a', '1b', '1c', '1d', '2e', '2f', '2g', '2h', '4i', '4j', '4k', '4l', '4m', '4n', '4o', '8p']"
90,"['2a', '2b', '2c', '4d', '4e', '4f', '8g']"
91,"['4a', '4b', '4c', '8d']"
92,"['4a', '8b']"
93,"['2a', '2b', '2c', '2d', '2e', '2f', '4g', '4h', '4i', '4j', '4k', '4l', '4m', '4n', '4o', '8p']"
94,"['2a', '2b', '4c', '4d', '4e', '4f', '8g']"
95,"['4a', '4b', '4c', '8d']"
96,"['4a', '8b']"
97,"['2a', '2b', '4c', '4d', '4e', '8f', '8g', '8h', '8i', '8j', '16k']"
98,"['4a', '4b', '8c', '8d', '8e', '8f', '16g']"
99,"['1a', '1b', '2c', '4d', '4e', '4f', '8g']"
100,"['2a', '2b', '4c', '8d']"
101,"['2a', '2b', '4c', '4d', '8e']"
102,"['2a', '4b', '4c', '8d']"
103,"['2a', '2b', '4c', '8d']"
104,"['2a', '4b', '8c']"
105,"['2a', '2b', '2c', '4d', '4e', '8f']"
106,"['4a', '4b', '8c']"
107,"['2a', '4b', '8c', '8d', '16e']"
108,"['4a', '4b', '8c', '16d']"
109,"['4a', '8b', '16c']"
110,"['8a', '16b']"
111,"['1a', '1b', '1c', '1d', '2e', '2f', '2g', '2h', '4i', '4j', '4k', '4l', '4m', '4n', '8o']"
112,"['2a', '2b', '2c', '2d', '2e', '2f', '4g', '4h', '4i', '4j', '4k', '4l', '4m', '8n']"
113,"['2a', '2b', '2c', '4d', '4e', '8f']"
114,"['2a', '2b', '4c', '4d', '8e']"
115,"['1a', '1b', '1c', '1d', '2e', '2f', '2g', '4h', '4i', '4j', '4k', '8l']"
116,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '4i', '8j']"
117,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '8i']"
118,"['2a', '2b', '2c', '2d', '4e', '4f', '4g', '4h', '8i']"
119,"['2a', '2b', '2c', '2d', '4e', '4f', '8g', '8h', '8i', '16j']"
